region,division,department,team,employee_id,role,salary_usd,bonus_usd,performance_score,tasks_completed
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000001,Engineer,41018.23,8479.72,4.04,62
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000002,Engineer,42497.64,7545.41,4.41,37
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000003,Engineer,44897.06,7007.26,4.26,40
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000004,Manager,53634.8,8901.0,4.67,58
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000005,Engineer,35633.55,7617.29,5.0,51
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000006,Engineer,39940.78,6660.32,4.35,52
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000007,Analyst,33011.81,6239.9,4.82,31
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000008,Manager,47710.54,9100.69,4.54,40
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000009,Associate,25184.85,5594.56,5.0,64
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000010,Engineer,38086.63,7948.28,4.6,44
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000011,Analyst,36688.56,5122.89,4.51,12
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000012,Engineer,43402.0,6973.14,4.79,57
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000013,Engineer,41969.51,8317.68,4.31,53
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000014,Analyst,37302.07,6350.0,4.72,48
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000015,Manager,48147.56,8665.16,4.98,50
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000016,Analyst,34787.8,7114.7,4.39,57
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000017,Engineer,44682.34,8902.76,5.0,72
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000018,Engineer,41380.18,8224.62,5.0,37
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000019,Associate,31411.67,5626.17,5.0,63
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_1,E000020,Engineer,38341.97,6832.34,4.65,46
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000021,Engineer,44106.78,8870.44,3.53,94
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000022,Engineer,34497.83,9770.54,3.7,95
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000023,Lead,50752.02,10676.64,4.35,118
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000024,Manager,43460.18,10798.51,4.63,115
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000025,Lead,51841.78,11704.7,3.93,87
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000026,Associate,27008.99,7945.06,4.14,119
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000027,Engineer,36531.53,8284.51,3.86,97
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000028,Engineer,38410.52,8799.52,3.83,109
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000029,Analyst,30795.81,7753.73,3.7,93
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000030,Analyst,35349.27,7334.72,3.82,109
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000031,Lead,50395.3,12466.48,4.51,139
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000032,Analyst,32721.77,7090.76,3.17,71
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000033,Analyst,30388.44,7249.82,4.26,110
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000034,Manager,42697.11,10100.56,4.87,90
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000035,Engineer,43218.78,9263.36,3.59,136
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000036,Engineer,37979.86,8689.02,5.0,104
