Data scrapping of Times Square Restaurants,neg,neu,pos,compound,sentiment_label
Total number of restaurants: 50,0.0,0.755,0.245,0.0772,Slightly Positive
Total number of reviews 50 x 20 = 1000,0.0,0.822,0.178,0.0772,Slightly Positive
https://www.tripadvisor.com/Restaurants-g60763-zfn7102354-New_York_City_New_York.html,0.0,0.0,0.0,0.0,Neutral
Reviews:,0.0,1.0,0.0,0.0,Neutral
"Socarrat Paella Bar - Chelsea
LatinBarSeafood
4.0
1. I ate at this restaurant years ago and enjoyed the Paella. I though it would give it another try while in NYC. We were advised it would take 30 minutes to prepare, two persons had to order the same dish at it was $31 per person. With that out of the way we ordered the seafood version. 30 minutes later it arrived. There was a thin cover of yellow rice with a few small shrimp, scallops and mussels on top. There was also some mystery white fish mixed in. The rice was overcooked and super salty. The seafood was tasteless - i think the rice is baked and at the last minute they throw some precooked seafood on top. This is authentic like Taco Bell is real Mexican



2. Wonderful food - terrifically attentive wait service - lots of dinner options as well as small plates",0.0,0.863,0.137,0.9628,Very Positive
"3. Friendly, attentive service. Really good food and generous portions. Excellent value, we will be back for dinner! Very good Albarino.",0.0,0.438,0.562,0.96,Very Positive
"4. Wow what a dinner ! We took the combined poultry and seafood paella and started with some appetizers: iberico jamon, spinach croquettes , garlic shrimps, 2 color beets with goat cheese. Every bite was amazing. The deserts were excellent as well",0.0,0.713,0.287,0.9286,Very Positive
"5. Pincho de pollo tapas had a tasty mushroom and veggies and tender, nicely cooked chicken. Pescado y marisco paella was a perfect portion for two and tasted natural and fresh, delicious. Good drinks. Excellent, very attentive customer service. Reasonable wait and spacious outdoor seating.",0.0,0.617,0.383,0.967,Very Positive
6. A terrific post Joyce Theatre choice. Our favorite in that neighborhood. Great selection of tapas and charcuterie boards. Noisy but fun vibe. Great and attentive service.,0.035,0.526,0.439,0.9464,Very Positive
7. I came here with coworkers after work one day and we were all so satisfied with the food. We got 6 different types of tapas and 3 different paella's for the 7 of us and it was more than enough food. We got a vegetarian paella and chicken paella and a seafood paella (my favorite- it has black squid inked rice which was amazing). The tapas were all delicious and the service was top notch. Very intimate setting and highly recommended for friends and for dates.,0.0,0.81,0.19,0.9483,Very Positive
8. This place get better every time I eat here. They had a duck paella special when I was there last week that was TO DIE FOR. The waiter explained to us that the more fat in the meat creates an even crunchier socarrat (the part of the paella which the restaurant is named for).,0.065,0.805,0.129,0.4215,Slightly Positive
